Date,Description,Amount,Categories,Type
08-28-2026,Granite Installation payment,1250.62,Work Payment,Deposit
02-10-2026,Chinese Food,-48.3,Expenses,Withdrawal
06-23-2026,Salary for repair a car,345.8,Work Payment,Deposit
03-10-2025,Wining Lotto,1000.0,Main Entrance,Deposit
03-31-2026,Dog Food,-94.3,Expenses,Withdrawal
01-13-2026,Gas,-72.4,Expenses,Withdrawal
10-31-2025,Payment,623.0,Main Entrance,Deposit
07-23-2025,The Gift of a Friend,895.0,Gift,Deposit
03-11-2025,Win a Lotto Ticket,1500.0,Main Entrance,Deposit
07-15-2026,Under Armor Clothing,-132.2,Expenses,Withdrawal
12-16-2025,Thai Food,-62.3,Gift,Withdrawal
10-30-2025,Netflix and Max,-15.6,Suscription,Withdrawal
02-28-2026,Costco shopping,-142.0,Grocery,Withdrawal

Totales:
Deposits: $5614.42
Withdrawals: $-567.10
Net Balance: $5047.32
